"Bairro","preco","Data","Dormitorios"
"JARDIM MARAJOARA","6571 ",2019-04-01,"3"
"JARDIM PAULISTA","10150 ",2019-04-01,"3"
"JARDIM SAÚDE","7308 ",2019-04-01,"3"
"JARDINS","10286 ",2019-04-01,"3"
"LAPA","4413 ",2019-04-01,"3"
"LIMÃO","6312 ",2019-04-01,"3"
"MOEMA","10354 ",2019-04-01,"3"
"MOOCA","7409 ",2019-04-01,"3"
"MORUMBI","5930 ",2019-04-01,"3"
"PANAMBY","7167 ",2019-04-01,"3"
"PARAÍSO","8958 ",2019-04-01,"3"
"PENHA","5785 ",2019-04-01,"3"
"PERDIZES","8911 ",2019-04-01,"3"
"PINHEIROS","10042 ",2019-04-01,"3"
"PIRITUBA","6130 ",2019-04-01,"3"
"POMPÉIA","9497 ",2019-04-01,"3"
"REAL PARQUE","6574 ",2019-04-01,"3"
"SACOMÃ","5742 ",2019-04-01,"3"
"SANTA CECÍLIA","8278 ",2019-04-01,"3"
"SANTANA","6953 ",2019-04-01,"3"
"SÃO MATEUS","4366 ",2019-04-01,"3"
"SÃO MIGUEL PAULISTA","4267 ",2019-04-01,"3"
"SAPOPEMBA","5133 ",2019-04-01,"3"
"SAÚDE","8319 ",2019-04-01,"3"
"TATUAPÉ","7234 ",2019-04-01,"3"
"TUCURUVI","6312 ",2019-04-01,"3"
"VILA ANDRADE","6006 ",2019-04-01,"3"
"VILA CARRÃO","6791 ",2019-04-01,"3"
"VILA CLEMENTINO","9352 ",2019-04-01,"3"
"VILA FORMOSA","6420 ",2019-04-01,"3"
"VILA LEOPOLDINA","9695 ",2019-04-01,"3"
"VILA MARIA","6885 ",2019-04-01,"3"
"VILA MARIANA","9422 ",2019-04-01,"3"
"VILA MASCOTE","8058 ",2019-04-01,"3"
"VILA NOVA CONCEIÇÃO","15161 ",2019-04-01,"3"
"VILA OLÍMPIA","10472 ",2019-04-01,"3"
"VILA PRUDENTE","6632 ",2019-04-01,"3"
"VILA ROMANA","9928 ",2019-04-01,"3"
"VILA SÔNIA","6472 ",2019-04-01,"3"
"ACLIMAÇÃO","9532 ",2018-04-01,"4"
"ALTO DA BOA VISTA","8527 ",2018-04-01,"4"
"BARRA FUNDA","9090 ",2018-04-01,"4"
"BELA VISTA","8053 ",2018-04-01,"4"
"BELÉM","6424 ",2018-04-01,"4"
"BRÁS",NA,2018-04-01,"4"
"BROOKLIN PAULISTA","10147 ",2018-04-01,"4"
"BUTANTÃ","6286 ",2018-04-01,"4"
"CAMPO BELO","9971 ",2018-04-01,"4"
"CAMPO GRANDE","7128 ",2018-04-01,"4"
"CAMPO LIMPO",NA,2018-04-01,"4"
"CANGAÍBA",NA,2018-04-01,"4"
"CASA VERDE","9013 ",2018-04-01,"4"
"CENTRO","6991 ",2018-04-01,"4"
"CHÁCARA KLABIN","10270 ",2018-04-01,"4"
"CONSOLAÇÃO","9734 ",2018-04-01,"4"
"FREGUESIA DO Ó","5097 ",2018-04-01,"4"
"HIGIENÓPOLIS","10181 ",2018-04-01,"4"
"INTERLAGOS","6972 ",2018-04-01,"4"
"IPIRANGA","8344 ",2018-04-01,"4"
"ITAIM BIBI","13103 ",2018-04-01,"4"
"ITAIM PAULISTA",NA,2018-04-01,"4"
"ITAQUERA",NA,2018-04-01,"4"
"JABAQUARA","7222 ",2018-04-01,"4"
"JAGUARÉ","7319 ",2018-04-01,"4"
"JARDIM AMÉRICA","12431 ",2018-04-01,"4"
"JARDIM MARAJOARA","7335 ",2018-04-01,"4"
"JARDIM PAULISTA","11556 ",2018-04-01,"4"
"JARDIM SAÚDE","6334 ",2018-04-01,"4"
"JARDINS","11958 ",2018-04-01,"4"
"LAPA","9057 ",2018-04-01,"4"
"LIMÃO",NA,2018-04-01,"4"
"MOEMA","10816 ",2018-04-01,"4"
"MOOCA","7054 ",2018-04-01,"4"
"MORUMBI","5418 ",2018-04-01,"4"
"PANAMBY","7346 ",2018-04-01,"4"
"PARAÍSO","11334 ",2018-04-01,"4"
"PENHA","4009 ",2018-04-01,"4"
"PERDIZES","10387 ",2018-04-01,"4"
"PINHEIROS","11186 ",2018-04-01,"4"
"PIRITUBA","7832 ",2018-04-01,"4"
"POMPÉIA","10446 ",2018-04-01,"4"
"REAL PARQUE","6491 ",2018-04-01,"4"
"SACOMÃ",NA,2018-04-01,"4"
"SANTA CECÍLIA","9304 ",2018-04-01,"4"
"SANTANA","7881 ",2018-04-01,"4"
"SÃO MATEUS",NA,2018-04-01,"4"
"SÃO MIGUEL PAULISTA",NA,2018-04-01,"4"
"SAPOPEMBA",NA,2018-04-01,"4"
"SAÚDE","8389 ",2018-04-01,"4"
"TATUAPÉ","7494 ",2018-04-01,"4"
"TUCURUVI","6030 ",2018-04-01,"4"
"VILA ANDRADE","5693 ",2018-04-01,"4"
"VILA CARRÃO","6030 ",2018-04-01,"4"
"VILA CLEMENTINO","9905 ",2018-04-01,"4"
"VILA FORMOSA","5616 ",2018-04-01,"4"
"VILA LEOPOLDINA","10239 ",2018-04-01,"4"
"VILA MARIA","8865 ",2018-04-01,"4"
"VILA MARIANA","11029 ",2018-04-01,"4"
"VILA MASCOTE","8394 ",2018-04-01,"4"
"VILA NOVA CONCEIÇÃO","18793 ",2018-04-01,"4"
"VILA OLÍMPIA","13744 ",2018-04-01,"4"
"VILA PRUDENTE","6481 ",2018-04-01,"4"
"VILA ROMANA","10671 ",2018-04-01,"4"
"VILA SÔNIA","5435 ",2018-04-01,"4"
